Step,Energy
0,-1103.48058263
1,-1103.48121135
2,-1103.48093685
3,-1103.48101729
4,-1103.48122416
5,-1103.48130416
6,-1103.48145264
7,-1103.48181916
8,-1103.48181107
9,-1103.48203382
10,-1103.45397380
11,-1103.48319796
12,-1103.48472777
13,-1103.48492497
14,-1103.47413186
15,-1103.48495458
16,-1103.48555207
17,-1103.48598896
18,-1103.48664713
19,-1103.48765917
20,-1103.48828603
21,-1103.48912342
22,-1103.48993084
23,-1103.49025227
24,-1103.49034366
25,-1103.49042983
26,-1103.49044415
27,-1103.49045041
28,-1103.49045141
29,-1103.49045154
30,-1103.49045154
31,-1103.49045154
