Step,Energy
0,-2820.39754332
1,-2820.42301950
2,-2820.42690874
3,-2820.42365145
4,-2820.42788185
5,-2820.43002487
6,-2820.43153199
7,-2820.43177169
8,-2820.43244612
9,-2820.43269418
10,-2820.43288553
11,-2820.43304121
12,-2820.43318238
13,-2820.43322241
14,-2820.43324758
15,-2820.43325457
16,-2820.43325794
17,-2820.43325925
18,-2820.43326008
19,-2820.43326035
20,-2820.43326056
21,-2820.43326103
22,-2820.43326135
23,-2820.43326125
24,-2820.43326160
25,-2820.43326102
26,-2820.43324214
27,-2820.43326063
28,-2820.43326153
29,-2820.43326162
30,-2820.43326146
31,-2820.43326169
32,-2820.43326163
33,-2820.43326173
34,-2820.43326188
35,-2820.43326189
36,-2820.43326189
37,-2820.43326189
38,-2820.43326189
