Step,Energy
0,-3093.76189452
1,-3093.79134219
2,-3093.75205025
3,-3093.80550470
4,-3093.80538361
5,-3093.80681177
6,-3093.81034663
7,-3093.81213844
8,-3093.81292803
9,-3093.81374107
10,-3093.81397708
11,-3093.81410832
12,-3093.81426617
13,-3093.81430576
14,-3093.81432530
15,-3093.81433552
16,-3093.81433217
17,-3093.81433052
18,-3093.81433684
19,-3093.81433717
20,-3093.81433609
21,-3093.81433662
22,-3093.81433787
23,-3093.81433647
24,-3093.81433721
25,-3093.81433786
26,-3093.81433676
27,-3093.81433651
28,-3093.81433782
29,-3093.81433667
30,-3093.81433667
31,-3093.81433667
